id	year	month	title	abstract	first_author	journal_name	journal_abb	language
29071011	2017	10	Cancer Chemopreventive Potential of Procyanidin.	"['Chemoprevention entails the use of synthetic agents or naturally occurring dietary phytochemicals to prevent cancer development and progression. One promising chemopreventive agent, procyanidin, is a naturally occurring polyphenol that exhibits beneficial health effects including anti-inflammatory, antiproliferative, and antitumor activities. Currently, many preclinical reports suggest procyanidin as a promising lead compound for cancer prevention and treatment. As a potential anticancer agent, procyanidin has been shown to inhibit the proliferation of various cancer cells in ""in vitro and in vivo"". Procyanidin has numerous targets, many of which are components of intracellular signaling pathways, including proinflammatory mediators, regulators of cell survival and apoptosis, and angiogenic and metastatic mediators, and modulates a set of upstream kinases, transcription factors, and their regulators. Although remarkable progress characterizing the molecular mechanisms and targets underlying the anticancer properties of procyanidin has been made in the past decade, the chemopreventive targets or biomarkers of procyanidin action have not been completely elucidated. This review focuses on the apoptosis and tumor inhibitory effects of procyanidin with respect to its bioavailability.']"	('Lee', 'Yongkyu')	Toxicological research	Toxicol Res	['eng']
28906004	2017	11	Acute myeloid leukaemia (FAB AML-M4Eo) with cryptic insertion of cbfb resulting in cbfb-Myh11 fusion.	"[""Inv(16)(p13q22) and t(16;16)(p13;q22) are cytogenetic hallmarks of acute myelomonoblastic leukaemia, most of them associated with abnormal bone marrow eosinophils [acute myeloid leukaemia French-American-British classification M4 with eosinophilia (FAB AML-M4Eo)] and a relatively favourable clinical course. They generate a 5'CBFB-3'MYH11 fusion gene. However, in a few cases, although RT-PCR identified a CBFB-MYH11 transcript, normal karyotype and/or fluorescent in situ hybridization (FISH) analyses using commercially available probes are found. We identified a 32-year-old woman with AML-M4Eo and normal karyotype and FISH results. Using two libraries of Bacterial Artificial Chromosome clones on 16p13 and 16q22, FISH analyses identified an insertion of 16q22 material in band 16p13, generating a CBFB-MYH11 type A transcript. Although very rare, insertions should be searched for in patients with discordant cytological and cytogenetic features because of the therapeutic consequences. Copyright © 2015 John Wiley & Sons, Ltd.""]"	('Douet-Guilbert', 'Nathalie')	Hematological oncology	Hematol Oncol	['eng']
28855816	2017	10	Identification of novel inhibitors against Cyclin Dependent Kinase 9/Cyclin T1 complex as: Anti cancer agent.	"[""Cell cycle consists of different types of phases, transition from G1, S, G2, M. Inhibition of associated CDKs like CDK9/Cyclin T1 complex, which are indirectly involved in the Cell cycle progression in the form of transcription elongation, reduces diverse diseases such as Cardiac Hypertrophy, Alzheimer's, Cancer, AIDS and Inflammation. Glide tool of the Schrodinger software has been used for performing Structure Based Virtual Screening and Docking against Drug Bank and MDPI database. The best hits were identified which go and bind in the active site of the target where ATP binds for the activity. The ADMET, MM-GBSA and DFT analysis is also done for the same. Compound 4-{4-[4-(3-aminopropoxy)phenyl]-1H-pyrazol-5-yl}-6-chlorobenzene-1,3-diol (DB08045) was found to be more potent, novel and selective as an inhibitor. Hopefully compound (DB08045) could be used as an anti-cancer agent for the treatment of life-threatening diseases.""]"	('Hussain', 'Afzal')	Saudi journal of biological sciences	Saudi J Biol Sci	['eng']
28839865	2016	07	Transnasal endoscopy: no gagging no panic!	"[StringElement('Transnasal endoscopy (TNE) is performed with an ultrathin scope via the nasal passages and is increasingly used. This review covers the technical characteristics, tolerability, safety and acceptability of TNE and also diagnostic accuracy, use as a screening tool and therapeutic applications. It includes practical advice from an ear, nose, throat (ENT) specialist to optimise TNE practice, identify ENT pathology and manage complications.', attributes={'Label': 'BACKGROUND', 'NlmCategory': 'BACKGROUND'}), StringElement('A Medline search was performed using the terms ""transnasal"", ""ultrathin"", ""small calibre"", ""endoscopy"", ""EGD"" to identify relevant literature.', attributes={'Label': 'METHODS', 'NlmCategory': 'METHODS'}), StringElement(""There is increasing evidence that TNE is better tolerated than standard endoscopy as measured using visual analogue scales, and the main area of discomfort is nasal during insertion of the TN endoscope, which seems remediable with adequate topical anaesthesia. The diagnostic yield has been found to be similar for detection of Barrett's oesophagus, gastric cancer and GORD-associated diseases. There are some potential issues regarding the accuracy of TNE in detecting small early gastric malignant lesions, especially those in the proximal stomach. TNE is feasible and safe in a primary care population and is ideal for screening for upper gastrointestinal pathology. It has an advantage as a diagnostic tool in the elderly and those with multiple comorbidities due to fewer adverse effects on the cardiovascular system. It has significant advantages for therapeutic procedures, especially negotiating upper oesophageal strictures and insertion of nasoenteric feeding tubes."", attributes={'Label': 'RESULTS', 'NlmCategory': 'RESULTS'}), StringElement('TNE is well tolerated and a valuable diagnostic tool. Further evidence is required to establish its accuracy for the diagnosis of early and small gastric malignancies. There is an emerging role for TNE in therapeutic endoscopy, which needs further study.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'})]"	('Parker', 'Clare')	Frontline gastroenterology	Frontline Gastroenterol	['eng']
28723537	2016	12	Exosomal MicroRNAs Are Diagnostic Biomarkers and Can Mediate Cell-Cell Communication in Renal Cell Carcinoma.	[StringElement('Apart from an invasive biopsy, currently no tools are available to confirm the diagnosis of clear cell renal cell carcinoma (ccRCC); this resulted in approximately 30% of patients being diagnosed with metastatic disease.', attributes={'Label': 'BACKGROUND', 'NlmCategory': 'BACKGROUND'}), StringElement('To determine whether urinary microRNAs (miRNAs) can serve as biomarkers to confirm the diagnosis of ccRCC.', attributes={'Label': 'OBJECTIVE', 'NlmCategory': 'OBJECTIVE'}), StringElement('Global miRNA expression was assessed in 28 preoperative urine samples from patients with ccRCC and 18 healthy participants. The independent validation set consisted of 81 ccRCC patients, 24 patients with benign lesions, and 33 healthy participants. We extracted both cell-free and exosomal RNA for miRNA expression analysis using miRNA-specific polymerase chain reaction assays. We also investigated exosomal miRNA secretion in cell line models and performed exosome transfer between RCC and endothelial cell types.', attributes={'Label': 'DESIGN, SETTING, AND PARTICIPANTS', 'NlmCategory': 'METHODS'}), StringElement('Receiver operating characteristic analysis was applied to identify the discrimination power of miRNAs.', attributes={'Label': 'OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS', 'NlmCategory': 'UNASSIGNED'}), StringElement('Overall, miR-126-3p combined with miR-449a or with miR-34b-5p could significantly distinguish ccRCC patients from healthy participants (miR-126-3p-miR-449a: area under the curve [AUC]: 0.84; 95% confidence interval [CI], 0.7620-0.9151; p<0.001; miR-126-3p-miR-34b-5p: AUC: 0.79; 95% CI, 0.7013-0.8815; p<0.001). The combination of miR-126-3p and miR-34b-5p was also able to distinguish small renal masses (pT1a, ?4cm) from healthy controls (AUC: 0.79; 95% CI, 0.6848-0.8980; p<0.001). Using miR-126-3p and miR-486-5p in combination, we were able to differentiate between benign lesions and ccRCC (AUC: 0.85; 95% CI, 0.7295-0.9615; p<0.01). The expression of a number of miRNAs returned to a level comparable with health after surgery. Kidney cancer cell lines were found to secrete exosomal miR-126-3p, miR-17-5p, miR-21-3p, and miR-25-3p, and these miRNAs were found to be internalized by other cell types.', attributes={'Label': 'RESULTS AND LIMITATIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('We identified exosomal miRNAs as potential noninvasive diagnostic urinary biomarkers for ccRCC and provided evidence that miRNAs are secreted by the tumor and can function as a tool for intercellular communication.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('We identified urinary microRNAs that can serve as diagnostic biomarkers for clear cell renal cell carcinoma.', attributes={'Label': 'PATIENT SUMMARY', 'NlmCategory': 'UNASSIGNED'})]	('Butz', 'Henriett')	European urology focus	Eur Urol Focus	['eng']
28723536	2016	12	Correlation Between Molecular Subclassifications of Clear Cell Renal Cell Carcinoma and Targeted Therapy Response.	[StringElement('Vascular endothelial growth factor (VEGF) and mammalian target of rapamycin (mTOR)-directed therapies are the standard of care in metastatic clear cell renal cell carcinoma (mccRCC) but are not used based on molecular subclassifications of ccRCC.', attributes={'Label': 'BACKGROUND', 'NlmCategory': 'BACKGROUND'}), StringElement('To determine if an association exists between genomic alterations (GAs) detected by comprehensive genomic profiling (CGP) in the course of clinical care and the response to anti-VEGF receptor (VEGFR) and anti-MTOR pathway targeted therapies in a cohort of patients with treated mccRCC.', attributes={'Label': 'OBJECTIVE', 'NlmCategory': 'OBJECTIVE'}), StringElement('CGP, using a Clinical Laboratory Improvement Amendments-certified platform, was performed on 31 formalin-fixed, paraffin-embedded tissue specimens (84% from cytoreductive nephrectomies) obtained from patients with metastatic renal cell carcinoma who had received VEGFR and/or mTOR inhibitors. Duration of treatment (DOT) and extent and duration of clinical response were obtained from review of medical records.', attributes={'Label': 'DESIGN, SETTING, AND PARTICIPANTS', 'NlmCategory': 'METHODS'}), StringElement('All classes of GAs-base substitutions, short insertions, deletions, gene fusions, rearrangements, and copy number-were assessed via hybrid capture-based CGP. Descriptive statistics were used to determine the frequency of GAs in groups segregated by the DOT with VEGF-directed agents.', attributes={'Label': 'OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS', 'NlmCategory': 'UNASSIGNED'}), StringElement('The most common GAs detected in this series were in VHL (70%), PBRM1 (48%), SETD2 (32%), TSC1 (29%), MLL (19%), TERT (16%), ARID1B (16%), and KDM5C (16%). Across 61 administrations of VEGF-directed therapy in 27 patients, exceptional responses (DOT >21 mo) were more frequent among patients with GAs in KDM5C, PBRM1, and VHL. Conversely, these patients also featured a lower frequency of GA associated with response to mTOR-directed therapy, such as TSC1.', attributes={'Label': 'RESULTS AND LIMITATIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('Molecular subclassifications may affect response to VEGF-directed therapy. The predictive and prognostic nature of these molecular subclassifications in the metastatic setting should be explored in an extended series.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('Comprehensive genomic profiling in the course of clinical care in the community oncology setting can delineate subgroups of patients with advanced kidney cancer who stand to benefit more from specific molecular-targeted agents.', attributes={'Label': 'PATIENT SUMMARY', 'NlmCategory': 'UNASSIGNED'})]	('Ho', 'Thai H')	European urology focus	Eur Urol Focus	['eng']
28723535	2016	07	Serum Adiponectin Predicts Cancer-specific Survival of Patients with Renal Cell Carcinoma.	[StringElement('Prediction of outcomes in patients with renal cell carcinoma (RCC) is crucial for clinical decision-making. The limited accuracy of conventional prognostic factors such as stage and grade may be increased by the use of biomarkers.', attributes={'Label': 'BACKGROUND', 'NlmCategory': 'BACKGROUND'}), StringElement('To evaluate the association of serum adiponectin and leptin and polymorphisms in the leptin and leptin receptor genes with RCC histopathology and prognosis.', attributes={'Label': 'OBJECTIVE', 'NlmCategory': 'OBJECTIVE'}), StringElement('Adiponectin and leptin levels were measured in preoperative serum samples from 131 consecutive patients with sporadic unilateral RCC. The polymorphisms G-2548A (rs7799039) in the leptin gene (LEP) and Gln223Arg (Q223R, A668G, rs1137101) in the leptin receptor gene (LEPR) were genotyped in 233 patients.', attributes={'Label': 'DESIGN, SETTING, AND PARTICIPANTS', 'NlmCategory': 'METHODS'}), StringElement('Multivariable associations with RCC-specific survival were analyzed using Cox models.', attributes={'Label': 'OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS', 'NlmCategory': 'UNASSIGNED'}), StringElement('Median preoperative serum adiponectin was 15.8?g/ml (interquartile range 10.0-23.1). Adiponectin was lower in patients with distant metastases (p=0.017) or histologic tumor necrosis (p=0.015). On multivariable analysis adjusted for the effects of variables in the Karakiewicz nomogram, each 1-?g/ml increase in adiponectin was associated with a 8% decrease in the hazard of death from RCC (hazard ratio 0.92, 95% confidence interval 0.86-0.98; p=0.007). The discrimination of the Karakiewicz nomogram increased by 0.6% on inclusion of adiponectin. Leptin levels, LEP G-2548A and LEPR Q223R were not associated with either RCC pathology or outcomes. Limitations include the retrospective study design, the low numbers of patients, and a lack of standardized follow-up.', attributes={'Label': 'RESULTS AND LIMITATIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('This study suggests that lower preoperative serum adiponectin is associated with features of biologically aggressive RCC, metastasis, and survival.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('We assessed the relationship between outcomes and blood levels of adiponectin and leptin and genetic changes in leptin and leptin receptor genes. We found that patients with lower adiponectin levels have more aggressive tumors and poorer survival.', attributes={'Label': 'PATIENT SUMMARY', 'NlmCategory': 'UNASSIGNED'})]	('de Martino', 'Michela')	European urology focus	Eur Urol Focus	['eng']
28723534	2016	09	Reporting Bias Leading to Discordant Venous Thromboembolism Rates in the United States Versus Non-US Countries Following Radical Cystectomy: A Systematic Review and Meta-analysis.	"[StringElement('Postcystectomy bladder cancer (BCa) patients are at high risk for developing venous thromboembolism (VTE). The literature varies widely in the reporting of VTE in this population.', attributes={'Label': 'CONTEXT', 'NlmCategory': 'BACKGROUND'}), StringElement('To determine the VTE rate in subjects undergoing radical cystectomy (RC) and highlight specific factors affecting this rate.', attributes={'Label': 'OBJECTIVE', 'NlmCategory': 'OBJECTIVE'}), StringElement('This meta-analysis was registered with the International Prospective Register of Systematic Reviews (PROSPERO) database, registration number: CRD42015016776. We queried MEDLINE, the Cochrane Library, Embase, Scopus, Cumulative Index to Nursing and Allied Health Literature (CINAHL), and Web of Science. Search terms captured BCa, RC, and VTE. Per the Preferred Reporting Items for Systematic Reviews and Meta-analysis (PRISMA) guidelines, abstracts were reviewed for inclusion/exclusion criteria by two reviewers, and disagreements were resolved by a third reviewer. A search of the gray literature and references of pertinent articles was also performed. The date of our last search was December 15, 2014. For unreported data, authors were contacted. Data were abstracted in duplicate and pooled using a random effects (RE) model. Subgroup analyses and meta-regression were performed to determine risk factors for VTE.', attributes={'Label': 'EVIDENCE ACQUISITION', 'NlmCategory': 'METHODS'}), StringElement('We identified 2927 publications, of which 223 met inclusion criteria for this review. A total of 1 115 634 surgeries were performed on patient population (80% men) with a total of 51 908 VTEs. The VTE rate estimated by the RE model was 3.7%. Due to significant heterogeneity, subgroup and meta-regression analyses were undertaken. These revealed a higher rate of VTE in US studies at 4.49% compared with ""westernized"" non-US studies at 3.43% and ""nonwesternized"" non-US based studies at 2.50%. Other important modifiers included minimally invasive surgery at 5.54% versus open surgery at 3.55%, and age. The case-fatality rate of pulmonary emboli was 44%.', attributes={'Label': 'EVIDENCE SYNTHESIS', 'NlmCategory': 'RESULTS'}), StringElement('VTE is common in patients undergoing RC. Reporting of VTE is heterogeneous and the rate varies according to study-level factors, including surgery type and country of origin. Limitations of this study include the preponderance of observational studies in the final analysis and lack of complete reporting of all variables of interest within each study.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('In this review, we determined the venous thromboembolism (VTE) rate in postsurgical bladder cancer patients. VTE events did vary significantly among certain subgroups.', attributes={'Label': 'PATIENT SUMMARY', 'NlmCategory': 'UNASSIGNED'})]"	('Fantony', 'Joseph J')	European urology focus	Eur Urol Focus	['eng']
28723533	2016	07	Patient-reported Functional Outcomes Following Open, Laparoscopic, and Robotic Assisted Radical Prostatectomy Performed by High-volume Surgeons at High-volume Hospitals.	[StringElement('Functional outcomes following radical prostatectomy (RP) have received increased focus with dissemination of minimally invasive approaches.', attributes={'Label': 'BACKGROUND', 'NlmCategory': 'BACKGROUND'}), StringElement('To examine contemporary patient-reported functional outcomes following open RP. (ORP), laparoscopic RP, (LRP), and robotic assisted RP (RARP) performed by high-volume surgeons at high-volume hospitals.', attributes={'Label': 'OBJECTIVE', 'NlmCategory': 'OBJECTIVE'}), StringElement('This was a retrospective cohort study of 1686 men with cT1-cT2 prostate cancer treated with ORP (n=441), LRP (n=156), or RARP (n=1089) by high-volume surgeons (annual volume ?25 cases) at two academic centers from 2009 to 2012. Surveys containing the Expanded Prostate Cancer Index Composite urinary and sexual domains were administered at a median of 30.5 mo postoperatively.', attributes={'Label': 'DESIGN, SETTINGS, AND PARTICIPANTS', 'NlmCategory': 'METHODS'}), StringElement('ORP, LRP, and RARP.', attributes={'Label': 'INTERVENTIONS', 'NlmCategory': 'METHODS'}), StringElement('Bother with overall urinary and sexual function was examined and stratified by surgical technique. Logistic regression models evaluated the associations of clinicopathologic features with survey responses.', attributes={'Label': 'OUTCOME MEASUREMENTS AND STATISTICAL ANALYSIS', 'NlmCategory': 'UNASSIGNED'}), StringElement('In total, 6.4% of men reported a moderate or big problem with overall urinary function (ORP 5.8%, LRP 5.1%, RARP 6.8%; p=0.62), whereas 37.3% reported a moderate or big problem with overall sexual function (ORP 37.2%, LRP 36.1%, RARP 37.5%; p=0.95). On multivariable analysis, older age at surgery (odds ratio [OR]: 1.08; p<0.0001) was associated with overall urinary bother, whereas older age at surgery (OR: 1.03; p=0.005), preoperative erectile dysfunction treatment (OR: 2.22; p<0.0001), greater prostate volume (OR: 1.01; p=0.02), and RP Gleason score (7 vs 6: OR: 0.96; p=0.004; 8-10 vs 6: OR: 2.25; p=0.0006) were associated with overall sexual bother. Surgical technique was not associated with either functional outcome. Limitations included selection bias and a retrospective design.', attributes={'Label': 'RESULTS AND LIMITATIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('In this study of high-volume surgeons at high-volume hospitals, patients reported excellent functional outcomes independent of surgical technique. These results have implications for patient counseling.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('In this study of high-volume surgeons at high-volume hospitals, patients reported excellent outcomes for urinary and sexual function following radical prostatectomy regardless of surgical technique.', attributes={'Label': 'PATIENT SUMMARY', 'NlmCategory': 'UNASSIGNED'})]	('Gershman', 'Boris')	European urology focus	Eur Urol Focus	['eng']
28723532	2016	10	Comparative Oncologic and Toxicity Outcomes of Salvage Radical Prostatectomy Versus Nonsurgical Therapies for Radiorecurrent Prostate Cancer: A Meta-Regression Analysis.	[StringElement('In the absence of randomised controlled trials comparing the oncologic, toxicity, and functional outcomes of salvage radical prostatectomy (SRP), salvage high-intensity focused ultrasound (SHIFU), salvage brachytherapy (SBT), and salvage cryotherapy (SCT), controversy exists as to the optimal salvage modality in radiorecurrent prostate cancer.', attributes={'Label': 'CONTEXT', 'NlmCategory': 'BACKGROUND'}), StringElement('We carried out a meta-regression analysis to determine whether there is a difference in oncologic, toxicity, and functional outcomes using data from original publications of salvage modalities in the postradiation setting.', attributes={'Label': 'OBJECTIVE', 'NlmCategory': 'OBJECTIVE'}), StringElement('We performed a systematic review of PubMed/Medline citations according to the Preferred Reporting Items for Systematic Review and Meta-analysis (PRISMA) statement. We included 63 articles in the analysis (25 on SRP, 8 on SHIFU, 16 on SCT, 14 on SBT).', attributes={'Label': 'EVIDENCE ACQUISITION', 'NlmCategory': 'METHODS'}), StringElement('Median values of the following variables were extracted from each study: patient age, length of follow-up, prostate-specific antigen (PSA) before radiotherapy (RT), PSA before salvage therapy, Gleason score before RT, and time interval between RT and salvage therapy. Functional, toxicity, and oncologic outcomes were measured according to rates of impotence, incontinence, fistula formation, urethral strictures, and biochemical recurrence. Meta-regression adjusting for confounders found no significant difference in oncologic outcomes between SRP and nonsurgical salvage modalities. SBT, SCT, and SHIFU appeared to have better continence outcomes than SRP. No significant difference in toxicity outcomes between modalities was found, although limitations such as reporting, selection, and publication bias and between-study heterogeneity must also be considered with these conclusions.', attributes={'Label': 'EVIDENCE SYNTHESIS', 'NlmCategory': 'RESULTS'}), StringElement('Oncologic outcomes are comparable for SRP and all three nonsurgical salvage modalities. We found no significant differences in toxicity outcomes among modalities; however, SRP appears to be associated with worse rates of urinary incontinence than SBT, SCT, and SHIFU.', attributes={'Label': 'CONCLUSIONS', 'NlmCategory': 'CONCLUSIONS'}), StringElement('We performed a meta-regression analysis to compare oncologic, functional, and toxicity outcomes between salvage radical prostatectomy and nonsurgical salvage modalities. Oncologic and toxicity outcomes appear to be similar; however, all nonsurgical salvage modalities may be associated with better continence outcomes.', attributes={'Label': 'PATIENT SUMMARY', 'NlmCategory': 'UNASSIGNED'})]	('Philippou', 'Yiannis')	European urology focus	Eur Urol Focus	['eng']
