"journal_name	journal_abv	IFJ_Score"
"The New England Journal of Medicine	N. Engl. J. Med	72406"
"Chemical Reviews	Chem. Rev	47928"
"Lancet	Lancet	47831"
"Nature Reviews Molecular Cell Biology	Nat. Rev. Mol. Cell Biol	46602"
"Journal of the American Medical Association	JAMA	44405"
"Nature Biotechnology	Nat. Biotechnol.	41667"
"Nature	Nature	40137"
"Nature Reviews Immunology	Nat. Rev. Immunol.	39932"
"Nature Materials	Nat. Mater.	39737"
"Nature Nanotechnology	Nat. Nanotechnol. 	38986"
"Chemical Society Review	Chem. Soc. Rev. 	38618"
"Science	Science	37205"
"Nature Reviews Cancer	Nat. Rev. Cancer	37147"
"Cell	Cell	30410"
"Nature Medicine	Nat. Med.	29886"
"Nature Reviews Neuroscience	Nat. Rev. Neurosci.	28880"
"Nature Genetics	Nat. Genet.	27959"
"Nature Reviews Microbiology	Nat. Rev. Microbiol.	26819"
"Nature Methods	Nat. Methods	25062"
"Immunity	Immunity	22845"
"Accounts of Chemical Research	Acc. Chem. Res. 	20268"
"Journal of the American College of Cardiology	J. Am. Coll. Cardiol.	19896"
"Advanced Materials 	Adv. Mater.	19761"
"Gastroenterology	Gastroenterol.	18392"
"Cell Metabolism	Cell Metab.	18164"
"Nature Neuroscience	Nat. Neurosci.	17839"
"Progress in Energy and Combustion Science	Prog. Energy Combust. Sci.	17382"
"Molecular Cell	Mol. Cell	14714"
"Circulation Research	Circ. Res.	13965"
"ACS Nano	ACS Nano	13942"
"Journal of the American Chemical Society	J. Am. Chem. Soc.	13858"
"Annual Review of Medicine		13609"
"Trends in Immunology		13287"
"Hepatology	Hepatology	13246"
"Molecular Psychiatry	Mol. Psychiatry	13204"
"American Journal of Respiratory and Critical Care Medicine	Am. J. Respir. Crit. Care Med.	13204"
"Blood	Blood	13164"
"Journal of Allergy and Clinical Immunology	J. Allergy Clin. Immunol.	13081"
"Annual Review of Pharmacology and Toxicology		12877"
"Annual Review of Entomology		12867"
"Trends in Pharmacological Sciences		12797"
"The Journal of Clinical Investigation	J. Clin. Investig.	12784"
"Nano Letters	Nano Lett.	12712"
"Journal of the National Cancer Institute	J. Natl. Cancer Inst.	12589"
"Reviews of Geophysics	Rev. Geophys.	12340"
"Acta Neuropathologica	Acta Neuropathol.	12213"
"FEMS Microbiology Reviews		12198"
"Angewandte Chemie	Angew. Chem. Int. Ed.	11994"
"Trends in Plant Science		11911"
"PLoS Medicine	PLoS Medicine	11862"
"Leukemia	Leukemia	11702"
"Trends in Biotechnology		11126"
"Annual Review of Physiology		11115"
"Trends in Microbiology		11020"
"Trends in Endocrinology and Metabolism		10893"
"Progress in Lipid Research		10583"
"Annual Review of Public Health		10228"
"Nucleic Acids Research 	Nucleic Acids Res.	10162"
